ケガ内容,判断,欠場期間の参考,
前十字靱帯（ACL）損傷,12節,"保存療法の場合あり
手術しないケースもある",
前十字靱帯（ACL）断裂,25節,復帰目安：6〜9か月、重症なら10か月超、ほぼシーズン離脱扱い,
ハムストリング肉離れ,5節,標準4〜6週仮置きが安全：5週とする,
膝蓋大腿靭帯損傷,3節,"軽度損傷：1〜2節
部分断裂：3〜6節
再建手術：10節以上",
前下脛腓靭帯損傷,6節,中等度（部分断裂）4〜8週間が 一番多いゾーン、3〜6試合欠場,
右肘関節靭帯損傷,8節,GKのケガ。欠場節の予想：約4週〜8週（1ヶ月〜2ヶ月）,
関節外側靭帯損傷,8節,"グレードI（軽症）	　　約2〜4週間
グレードII（中等症）　約6〜10週間（1.5〜2.5ヶ月）
グレードIII（重症）　　約3〜6ヶ月以上（手術検討）",
内側側副靭帯損傷,6節,手術は稀: 前十字靭帯（ACL）とは違い、単独損傷であればプロ選手でも**保存療法（リハビリ）**で治すのが標準的,
ヒラメ筋損傷,3節,"スプリント、切り返し、後半の走力維持、に直結。
FW・WG・SBなら影響大、
一度復帰しても数節後に再発可能性",
ヒラメ筋肉離れ,6節,イコール　ハムストリング肉離れ,
腰椎椎間板ヘルニア,6節,"突然の長期離脱
復帰してもパフォーマンス安定しない
再離脱リスクあり",
復帰未定（帰国） → 長期デフォルト,8節,欠場：8節（まずこれを標準にする）,
外側半月板損傷,12節,手術をしない場合：約1ヶ月〜3ヶ月,
,12節,手術をした場合：約2ヶ月〜3ヶ月　or　約6ヶ月〜9ヶ月,
左大腿二頭筋断裂,8節,"「走る」
軽度（Ⅰ度：筋線維の微細損傷）：2週〜3週間
中等度（Ⅱ度：部分断裂）：1ヶ月〜3ヶ月
重度（Ⅲ度：完全断裂）：4ヶ月〜6ヶ月以上",
右大腿四頭筋損傷,8節,"Ⅰ度（軽度）：1〜2週間
Ⅱ度（中等度）：4〜8週間
Ⅲ度（重度）：3ヶ月以上",
左大腿直筋腱断裂,20節,"「蹴る」
保存療法（手術なし）: 競技復帰まで 12週間〜15週間（約3〜4ヶ月）
手術（腱縫合）: 競技復帰まで 20週間〜30週間（約5〜7ヶ月）",
大腿直筋肉離れ,5 節,中等度（Ⅱ度：部分断裂）3〜6週間、一番多い、2〜5試合欠場,
脛骨骨挫傷,3節,骨の打撲（骨の内部にダメージがある状態）**で、骨折より軽い,
恥骨骨挫傷,5節,股関節・体幹・キック動作すべてに関わる,
左長内転筋付着部炎,5節,内ももの筋肉（長内転筋）が恥骨にくっつく部分の炎症,
腰椎分離症,16節,中等度（分離進行）2〜4ヶ月がメインゾーン,
アキレス腱断裂,25節,6ヶ月 〜 10ヶ月、25節 〜 全試合、ほぼシーズン終了,
右距骨離断性骨軟骨炎,15節,保存療法（軽症）：3ヶ月前後10〜12節,
,,手術（一般的）：4ヶ月〜6ヶ月15〜25節,
左脛骨内果骨折,24節,約４〜6カ月,
右内側側副靱帯損傷,8節,"グレードI（軽症）靭帯が伸びた状態（微細損傷）約1〜3週間
グレードII（中等症）靭帯の一部が切れている約4〜8週間（1〜2ヶ月）
グレードIII（重症）靭帯が完全に断裂している約2〜3ヶ月以上",
大腿二頭筋肉離れ,5節,"Ⅰ型（軽症）　筋膜の損傷・出血のみ（微細損傷）　約1〜2週間
Ⅱ型（中等症）　腱膜（筋肉の膜）の損傷　約4〜8週間（1〜2ヶ月）
Ⅲ型（重症）　腱の断裂や骨からの剥離　約3ヶ月以上（要手術も）",
大腿二頭筋損傷,6節,"ハムストリングスの肉離れ
",
